2018-04-01 05:27:08, Dayside Nadir, UVIS, 20180401_052814
2018-04-01 06:01:06, Dayside Nadir, UVIS, 20180401_060212
2018-04-01 06:22:08, Dayside Nadir, UVIS, 20180401_062312
2018-04-01 09:28:15, Dayside Nadir, UVIS, 20180401_092918
2018-04-01 10:02:02, Dayside Nadir, UVIS, 20180401_100305
2018-04-01 10:23:05, Dayside Nadir, UVIS, 20180401_102406
2018-04-01 13:19:20, Dayside Nadir, UVIS, 20180401_132020
2018-04-01 17:30:18, Dayside Nadir, UVIS, 20180401_173115
2018-04-01 18:03:43, Dayside Nadir, UVIS, 20180401_180440
2018-04-01 18:24:45, Dayside Nadir, UVIS, 20180401_182541
2018-04-01 21:21:22, Dayside Nadir, UVIS, 20180401_212216
2018-04-02 01:22:27, Dayside Nadir, UVIS, 20180402_012319
2018-04-02 05:33:24, Dayside Nadir, UVIS, 20180402_053413
2018-04-02 06:06:21, Dayside Nadir, UVIS, 20180402_060710
2018-04-02 06:27:25, Dayside Nadir, UVIS, 20180402_062812
2018-04-02 09:24:29, Dayside Nadir, UVIS, 20180402_092515
2018-04-02 13:35:34, Dayside Nadir, UVIS, 20180402_133618
2018-04-02 14:08:12, Dayside Nadir, UVIS, 20180402_140856
2018-04-02 14:29:14, Dayside Nadir, UVIS, 20180402_142955
2018-04-02 17:36:30, Dayside Nadir, UVIS, 20180402_173710
2018-04-02 18:08:58, Dayside Nadir, UVIS, 20180402_180938
2018-04-02 18:30:01, Dayside Nadir, UVIS, 20180402_183040
2018-04-02 21:37:33, Dayside Nadir, UVIS, 20180402_213811
2018-04-02 22:09:54, Dayside Nadir, UVIS, 20180402_221032
2018-04-02 22:31:00, Dayside Nadir, UVIS, 20180402_223136
2018-04-03 01:28:37, Dayside Nadir, UVIS, 20180403_012911
2018-04-03 05:29:33, Dayside Nadir, UVIS, 20180403_053005
2018-04-03 09:30:37, Dayside Nadir, UVIS, 20180403_093106
2018-04-03 13:31:41, Dayside Nadir, UVIS, 20180403_133208
2018-04-03 17:32:37, Dayside Nadir, UVIS, 20180403_173300
2018-04-03 21:33:38, Dayside Nadir, UVIS, 20180403_213359
2018-04-04 01:44:42, Dayside Nadir, UVIS, 20180404_014500
2018-04-04 02:16:02, Dayside Nadir, UVIS, 20180404_021620
2018-04-04 02:37:09, Dayside Nadir, UVIS, 20180404_023726
2018-04-04 05:45:38, Dayside Nadir, UVIS, 20180404_054553
2018-04-04 06:16:50, Dayside Nadir, UVIS, 20180404_061705
2018-04-04 06:37:57, Dayside Nadir, UVIS, 20180404_063810
2018-04-04 09:46:39, Dayside Nadir, UVIS, 20180404_094652
2018-04-04 10:17:44, Dayside Nadir, UVIS, 20180404_101757
2018-04-04 10:38:52, Dayside Nadir, UVIS, 20180404_103903
2018-04-04 17:38:39, Dayside Nadir, UVIS, 20180404_173846
2018-04-05 09:30:16, Dayside Nadir, UVIS, 20180405_093018
2018-04-05 13:36:25, Dayside Nadir, UVIS, 20180405_133627
2018-04-05 14:06:40, Dayside Nadir, UVIS, 20180405_140642
2018-04-05 14:27:16, Dayside Nadir, UVIS, 20180405_142718
2018-04-05 17:32:25, Dayside Nadir, UVIS, 20180405_173227
2018-04-05 18:02:32, Dayside Nadir, UVIS, 20180405_180234
2018-04-05 18:23:07, Dayside Nadir, UVIS, 20180405_182309
2018-04-05 21:28:26, Dayside Nadir, UVIS, 20180405_212827
2018-04-05 21:58:28, Dayside Nadir, UVIS, 20180405_215829
2018-04-05 22:19:05, Dayside Nadir, UVIS, 20180405_221907
2018-04-06 03:12:36, Dayside Nadir, UVIS, 20180406_031237
2018-04-06 09:06:36, Dayside Nadir, UVIS, 20180406_090637
2018-04-06 15:00:47, Dayside Nadir, UVIS, 20180406_150048
2018-04-06 20:54:45, Dayside Nadir, UVIS, 20180406_205446
2018-04-07 01:00:52, Dayside Nadir, UVIS, 20180407_010053
2018-04-07 01:30:06, Dayside Nadir, UVIS, 20180407_013007
2018-04-07 01:50:44, Dayside Nadir, UVIS, 20180407_015045
2018-04-07 04:56:54, Dayside Nadir, UVIS, 20180407_045655
2018-04-07 05:26:01, Dayside Nadir, UVIS, 20180407_052602
2018-04-07 05:46:37, Dayside Nadir, UVIS, 20180407_054638
2018-04-07 08:52:53, Dayside Nadir, UVIS, 20180407_085253
2018-04-07 09:21:54, Dayside Nadir, UVIS, 20180407_092154
2018-04-07 09:42:32, Dayside Nadir, UVIS, 20180407_094233
2018-04-07 12:39:00, Dayside Nadir, UVIS, 20180407_123900
2018-04-07 16:35:03, Dayside Nadir, UVIS, 20180407_163503
2018-04-08 04:22:49, Dayside Nadir, UVIS, 20180408_042249
2018-04-08 08:18:31, Dayside Nadir, UVIS, 20180408_081831
2018-04-08 12:24:23, Dayside Nadir, UVIS, 20180408_122423
2018-04-08 12:52:42, Dayside Nadir, UVIS, 20180408_125242
2018-04-08 13:13:17, Dayside Nadir, UVIS, 20180408_131317
2018-04-08 16:20:13, Dayside Nadir, UVIS, 20180408_162013
2018-04-08 16:48:25, Dayside Nadir, UVIS, 20180408_164825
2018-04-08 17:08:59, Dayside Nadir, UVIS, 20180408_170859
2018-04-08 20:15:55, Dayside Nadir, UVIS, 20180408_201555
2018-04-08 20:44:01, Dayside Nadir, UVIS, 20180408_204401
2018-04-08 21:04:35, Dayside Nadir, UVIS, 20180408_210435
2018-04-09 03:57:33, Dayside Nadir, UVIS, 20180409_035733
2018-04-09 11:49:04, Dayside Nadir, UVIS, 20180409_114904
2018-04-09 19:40:37, Dayside Nadir, UVIS, 20180409_194037
2018-04-09 23:46:24, Dayside Nadir, UVIS, 20180409_234624
2018-04-10 00:13:54, Dayside Nadir, UVIS, 20180410_001354
2018-04-10 00:34:30, Dayside Nadir, UVIS, 20180410_003430
2018-04-10 03:42:15, Dayside Nadir, UVIS, 20180410_034215
2018-04-10 04:09:39, Dayside Nadir, UVIS, 20180410_040939
2018-04-10 04:30:15, Dayside Nadir, UVIS, 20180410_043015
2018-04-10 07:37:58, Dayside Nadir, UVIS, 20180410_073758
2018-04-10 08:05:17, Dayside Nadir, UVIS, 20180410_080517
2018-04-10 08:25:52, Dayside Nadir, UVIS, 20180410_082552
2018-04-10 13:21:41, Dayside Nadir, UVIS, 20180410_132141
2018-04-10 19:15:19, Dayside Nadir, UVIS, 20180410_191519
2018-04-11 01:08:58, Dayside Nadir, UVIS, 20180411_010858
2018-04-11 07:02:38, Dayside Nadir, UVIS, 20180411_070238
2018-04-11 11:08:22, Dayside Nadir, UVIS, 20180411_110822
2018-04-11 11:35:06, Dayside Nadir, UVIS, 20180411_113506
2018-04-11 11:55:42, Dayside Nadir, UVIS, 20180411_115542
2018-04-11 15:04:13, Dayside Nadir, UVIS, 20180411_150413
2018-04-11 15:30:52, Dayside Nadir, UVIS, 20180411_153052
2018-04-11 15:51:27, Dayside Nadir, UVIS, 20180411_155127
2018-04-11 18:59:58, Dayside Nadir, UVIS, 20180411_185958
2018-04-11 19:26:32, Dayside Nadir, UVIS, 20180411_192632
2018-04-11 19:47:05, Dayside Nadir, UVIS, 20180411_194705
2018-04-12 02:41:30, Dayside Nadir, UVIS, 20180412_024130
2018-04-12 06:37:17, Dayside Nadir, UVIS, 20180412_063716
2018-04-12 10:32:58, Dayside Nadir, UVIS, 20180412_103258
2018-04-12 14:28:49, Dayside Nadir, UVIS, 20180412_142848
2018-04-12 18:24:36, Dayside Nadir, UVIS, 20180412_182436
2018-04-12 22:30:17, Dayside Nadir, UVIS, 20180412_223017
2018-04-12 22:56:19, Dayside Nadir, UVIS, 20180412_225619
2018-04-12 23:16:53, Dayside Nadir, UVIS, 20180412_231653
2018-04-13 02:26:06, Dayside Nadir, UVIS, 20180413_022606
2018-04-13 02:52:05, Dayside Nadir, UVIS, 20180413_025205
2018-04-13 03:12:41, Dayside Nadir, UVIS, 20180413_031241
2018-04-13 06:21:53, Dayside Nadir, UVIS, 20180413_062153
2018-04-13 06:47:47, Dayside Nadir, UVIS, 20180413_064747
2018-04-13 07:08:22, Dayside Nadir, UVIS, 20180413_070822
2018-04-13 07:33:00, Nightside Nadir, LNO, 20180413_073300
2018-04-13 07:33:00, Nightside Nadir, UVIS, 20180413_073300
2018-04-13 09:30:50, Nightside Nadir, LNO, 20180413_093050
2018-04-13 09:30:50, Nightside Nadir, UVIS, 20180413_093050
2018-04-13 10:17:35, Dayside Nadir, UVIS, 20180413_101735
2018-04-13 13:26:36, Nightside Nadir, LNO, 20180413_132636
2018-04-13 13:26:36, Nightside Nadir, UVIS, 20180413_132636
2018-04-13 14:13:24, Dayside Nadir, UVIS, 20180413_141324
2018-04-13 15:24:31, Nightside Nadir, LNO, 20180413_152431
2018-04-13 15:24:31, Nightside Nadir, UVIS, 20180413_152431
2018-04-13 18:09:13, Dayside Nadir, UVIS, 20180413_180913
2018-04-13 18:34:53, Dayside Nadir, UVIS, 20180413_183453
2018-04-13 18:55:27, Dayside Nadir, UVIS, 20180413_185527
2018-04-13 21:55:53, Dayside Limb, UVIS, 20180413_215553
2018-04-14 01:51:41, Dayside Limb, UVIS, 20180414_015141
2018-04-14 05:56:29, Dayside Nadir, UVIS, 20180414_055629
2018-04-14 06:21:57, Dayside Nadir, UVIS, 20180414_062157
2018-04-14 06:42:33, Dayside Nadir, UVIS, 20180414_064233
2018-04-14 09:52:10, Dayside Nadir, UVIS, 20180414_095210
2018-04-14 10:17:35, Dayside Nadir, UVIS, 20180414_101735
2018-04-14 10:38:10, Dayside Nadir, UVIS, 20180414_103810
2018-04-14 13:47:58, Dayside Nadir, UVIS, 20180414_134758
2018-04-14 14:13:18, Dayside Nadir, UVIS, 20180414_141318
2018-04-14 14:33:54, Dayside Nadir, UVIS, 20180414_143354
2018-04-14 17:43:48, Dayside Nadir, UVIS, 20180414_174348
2018-04-14 18:09:03, Dayside Nadir, UVIS, 20180414_180903
2018-04-14 18:29:37, Dayside Nadir, UVIS, 20180414_182937
2018-04-15 05:21:04, Dayside Nadir, UVIS, 20180415_052104
2018-04-15 09:16:47, Dayside Nadir, UVIS, 20180415_091647
2018-04-15 13:12:32, Dayside Nadir, UVIS, 20180415_131232
2018-04-15 17:08:23, Dayside Nadir, UVIS, 20180415_170823
2018-04-15 19:41:05, Dayside Nadir, UVIS, 20180415_194105
2018-04-15 21:14:05, Dayside Nadir, UVIS, 20180415_211406
2018-04-15 21:38:52, Dayside Nadir, UVIS, 20180415_213853
2018-04-15 21:59:26, Dayside Nadir, UVIS, 20180415_215926
2018-04-16 01:09:49, Dayside Nadir, UVIS, 20180416_010949
2018-04-16 01:34:32, Dayside Nadir, UVIS, 20180416_013432
2018-04-16 01:55:08, Dayside Nadir, UVIS, 20180416_015508
2018-04-16 05:05:38, Dayside Nadir, UVIS, 20180416_050538
2018-04-16 05:30:18, Dayside Nadir, UVIS, 20180416_053018
2018-04-16 05:50:54, Dayside Nadir, UVIS, 20180416_055054
2018-04-16 08:51:22, Dayside Nadir, UVIS, 20180416_085122
2018-04-16 12:57:04, Dayside Nadir, UVIS, 20180416_125704
2018-04-16 13:21:36, Dayside Nadir, UVIS, 20180416_132136
2018-04-16 13:42:12, Dayside Nadir, UVIS, 20180416_134212
2018-04-16 16:42:55, Dayside Nadir, UVIS, 20180416_164255
2018-04-16 20:38:39, Dayside Nadir, UVIS, 20180416_203839
2018-04-17 00:44:21, Dayside Nadir, UVIS, 20180417_004421
2018-04-17 01:08:40, Dayside Nadir, UVIS, 20180417_010840
2018-04-17 01:29:15, Dayside Nadir, UVIS, 20180417_012914
2018-04-17 04:30:10, Dayside Nadir, UVIS, 20180417_043011
2018-04-17 08:35:56, Dayside Nadir, UVIS, 20180417_083556
2018-04-17 09:00:08, Dayside Nadir, UVIS, 20180417_090008
2018-04-17 09:20:43, Dayside Nadir, UVIS, 20180417_092043
2018-04-17 12:31:37, Dayside Nadir, UVIS, 20180417_123137
2018-04-17 12:55:46, Dayside Nadir, UVIS, 20180417_125546
2018-04-17 13:16:22, Dayside Nadir, UVIS, 20180417_131622
2018-04-17 16:27:27, Dayside Nadir, UVIS, 20180417_162727
2018-04-17 16:51:31, Dayside Nadir, UVIS, 20180417_165131
2018-04-17 17:12:07, Dayside Nadir, UVIS, 20180417_171207
2018-04-17 20:13:13, Dayside Nadir, UVIS, 20180417_201313
2018-04-18 00:08:54, Dayside Nadir, UVIS, 20180418_000854
2018-04-18 04:04:41, Dayside Nadir, UVIS, 20180418_040441
2018-04-18 08:00:28, Dayside Nadir, UVIS, 20180418_080028
2018-04-18 11:56:08, Dayside Nadir, UVIS, 20180418_115608
2018-04-18 15:51:57, Dayside Nadir, UVIS, 20180418_155157
2018-04-18 19:57:45, Dayside Nadir, UVIS, 20180418_195745
2018-04-18 20:21:23, Dayside Nadir, UVIS, 20180418_202123
2018-04-19 03:49:12, Dayside Nadir, UVIS, 20180419_034912
2018-04-19 04:12:43, Dayside Nadir, UVIS, 20180419_041243
2018-04-19 04:33:19, Dayside Nadir, UVIS, 20180419_043319
2018-04-19 07:35:00, Dayside Nadir, UVIS, 20180419_073500
2018-04-19 11:30:41, Dayside Nadir, UVIS, 20180419_113041
2018-04-19 15:26:27, Dayside Nadir, UVIS, 20180419_152627
2018-04-19 19:22:16, Dayside Nadir, UVIS, 20180419_192216
2018-04-19 23:17:57, Dayside Nadir, UVIS, 20180419_231757
2018-04-20 03:13:42, Dayside Nadir, UVIS, 20180420_031342
2018-04-20 07:19:31, Dayside Nadir, UVIS, 20180420_071931
2018-04-20 07:42:36, Dayside Nadir, UVIS, 20180420_074236
2018-04-20 08:03:12, Dayside Nadir, UVIS, 20180420_080312
2018-04-20 11:15:13, Dayside Nadir, UVIS, 20180420_111513
2018-04-20 11:38:15, Dayside Nadir, UVIS, 20180420_113815
2018-04-20 11:58:50, Dayside Nadir, UVIS, 20180420_115850
2018-04-20 15:10:57, Dayside Nadir, UVIS, 20180420_151057
2018-04-20 15:33:55, Dayside Nadir, UVIS, 20180420_153355
2018-04-20 15:54:31, Dayside Nadir, UVIS, 20180420_155431
2018-04-20 18:56:48, Dayside Nadir, UVIS, 20180420_185648
2018-04-20 23:02:30, Dayside Nadir, UVIS, 20180420_230230
2018-04-20 23:25:20, Dayside Nadir, UVIS, 20180420_232520
2018-04-20 23:45:54, Dayside Nadir, UVIS, 20180420_234554
2018-04-21 02:48:13, Dayside Nadir, UVIS, 20180421_024813
2018-04-21 06:44:02, Dayside Nadir, UVIS, 20180421_064402
2018-04-21 10:49:46, Dayside Nadir, UVIS, 20180421_104946
2018-04-21 11:12:26, Dayside Nadir, UVIS, 20180421_111226
2018-04-21 11:33:00, Dayside Nadir, UVIS, 20180421_113300
2018-04-21 20:21:07, Egress Solar Occultation, UVIS, 20180421_202111
2018-04-21 22:37:03, Dayside Nadir, UVIS, 20180421_223706
2018-04-21 22:59:32, Dayside Nadir, UVIS, 20180421_225935
2018-04-21 23:20:06, Dayside Nadir, UVIS, 20180421_232009
2018-04-22 04:20:38, Dayside Nadir, UVIS, 20180422_042041
2018-04-22 09:21:52, Ingress Solar Occultation, UVIS, 20180422_092156
2018-04-22 10:24:20, Dayside Nadir, UVIS, 20180422_102424
2018-04-22 12:04:00, Egress Solar Occultation, UVIS, 20180422_120404
2018-04-22 16:07:55, Dayside Nadir, UVIS, 20180422_160758
2018-04-22 22:11:37, Dayside Nadir, UVIS, 20180422_221140
2018-04-22 22:33:44, Dayside Nadir, UVIS, 20180422_223347
2018-04-22 22:54:18, Dayside Nadir, UVIS, 20180422_225421
2018-04-22 23:51:11, Egress Solar Occultation, UVIS, 20180422_235114
2018-04-23 03:55:11, Dayside Nadir, UVIS, 20180423_035515
2018-04-23 08:56:29, Ingress Solar Occultation, UVIS, 20180423_085633
2018-04-23 09:58:52, Dayside Nadir, UVIS, 20180423_095856
2018-04-23 15:52:26, Dayside Nadir, UVIS, 20180423_155230
2018-04-23 21:46:10, Dayside Nadir, UVIS, 20180423_214614
2018-04-23 23:25:32, Egress Solar Occultation, UVIS, 20180423_232536
2018-04-24 03:39:42, Dayside Nadir, UVIS, 20180424_033946
2018-04-24 04:01:20, Dayside Nadir, UVIS, 20180424_040124
2018-04-24 04:21:55, Dayside Nadir, UVIS, 20180424_042200
2018-04-24 04:35:16, Ingress Solar Occultation, UVIS, 20180424_043521
2018-04-24 09:33:26, Dayside Nadir, UVIS, 20180424_093330
2018-04-24 09:54:58, Dayside Nadir, UVIS, 20180424_095502
2018-04-24 10:15:34, Dayside Nadir, UVIS, 20180424_101539
2018-04-24 15:16:59, Dayside Nadir, UVIS, 20180424_151703
2018-04-24 21:20:44, Dayside Nadir, UVIS, 20180424_212049
2018-04-24 22:59:51, Egress Solar Occultation, UVIS, 20180424_225956
2018-04-25 03:14:16, Dayside Nadir, UVIS, 20180425_031421
2018-04-25 03:35:30, Dayside Nadir, UVIS, 20180425_033535
2018-04-25 03:56:04, Dayside Nadir, UVIS, 20180425_035609
2018-04-25 04:09:55, Ingress Solar Occultation, UVIS, 20180425_041000
2018-04-25 09:07:58, Dayside Nadir, UVIS, 20180425_090803
2018-04-25 09:29:07, Dayside Nadir, UVIS, 20180425_092912
2018-04-25 09:49:43, Dayside Nadir, UVIS, 20180425_094948
2018-04-25 14:42:36, Egress Solar Occultation, UVIS, 20180425_144241
2018-04-25 15:01:31, Dayside Nadir, UVIS, 20180425_150136
2018-04-25 20:55:15, Dayside Nadir, UVIS, 20180425_205520
2018-04-26 02:48:48, Dayside Nadir, UVIS, 20180426_024853
2018-04-26 06:25:27, Egress Solar Occultation, UVIS, 20180426_062532
2018-04-26 08:42:31, Dayside Nadir, UVIS, 20180426_084236
2018-04-26 09:03:16, Dayside Nadir, UVIS, 20180426_090321
2018-04-26 09:23:52, Dayside Nadir, UVIS, 20180426_092357
2018-04-26 14:36:06, Dayside Nadir, UVIS, 20180426_143611
